Entry	Cross-reference (eggNOG)
D6R9S7	KOG3788;ENOG410XSTG;
Q3ZCN8	ENOG410IKPJ;ENOG410ZQXJ;
C9JGI9	KOG4119;ENOG41122JF;
B5A954	
G3V4I7	KOG2392;COG4826;
J9JII2	ENOG410IGBQ;ENOG41124QC;
A0A0B4J2F4	KOG1102;COG5210;
A2ABG0	KOG3627;COG5640;
G3V1X7	
C9J511	KOG2408;ENOG410XPZ3;
A2ABH1	
J3KND1	ENOG410IMST;ENOG4110KPS;
Q14174	KOG4286;COG5069;
A0A024QZ18	KOG3209;COG5021;
E9PP60	KOG1431;COG0451;
E9PC66	KOG1721;COG5048;
Q6DU44	ENOG410JD1V;ENOG410YKQA;
J3KPN7	KOG2810;ENOG410XYYN;
G3V106	KOG1225;KOG4659;ENOG410XQQD;
Q6P521	KOG4270;ENOG410XRR2;
K7EM71	KOG3649;ENOG410YC3T;
Q6P6D5	ENOG410IQ4P;ENOG4111XF7;
E9PKT0	KOG3979;ENOG410XT2T;
E9PFM6	KOG2408;ENOG410XPZ3;
Q6N065	
A0A087WVK9	ENOG410IGIM;ENOG410Y9US;
B4DTY2	ENOG410IZ95;ENOG4112463;
A0A0G2JLK7	
F8WEU5	KOG1721;COG5048;
I3L2E4	KOG0070;COG1100;
K7EQ21	KOG1632;ENOG410YG6P;
I3L3H0	KOG2761;ENOG4111HC0;
A0A0B4J291	KOG0016;KOG1911;COG1024;
G3V0F5	KOG3919;ENOG410Z11E;
Q75MZ5	KOG4385;COG5025;
B4DHS8	ENOG410IGNH;ENOG410ZZCU;
Q6P088	KOG1721;COG5048;
K7EL40	KOG1547;COG5019;
B7Z4W8	ENOG410IRAJ;ENOG4111H65;
G3V1V4	KOG4376;ENOG4111W8D;
C3TX97	ENOG410IZV4;ENOG4111BHV;
G5E9M7	ENOG410IFGD;ENOG410XX71;
E5RG48	ENOG410IFPZ;ENOG410XRVQ;
A0A087WT15	
A0A1B0GWA8	
E5RIQ9	KOG4488;ENOG410XWDZ;
F8WBU4	KOG4775;ENOG4111JHQ;
B7Z3R9	KOG3672;ENOG410YGWX;
E9PPY0	ENOG410IGPF;ENOG410Y19A;
R4GMN8	KOG0565;COG5411;
G3V148	KOG1734;ENOG410XP8B;
G3XAE9	KOG2933;ENOG410XSBP;
J3QQQ2	
G3V221	KOG0316;ENOG410XRZ0;
Q9NX33	ENOG410IGM9;ENOG410XT5S;
G5E9U2	ENOG410IEF4;ENOG4110TQ2;
G3V529	KOG0347;ENOG410XS03;
G5E9P6	KOG0876;COG0605;
Q8NDN3	KOG2258;COG0584;
O19617	ENOG410II5V;ENOG4111K8F;
G3V1A6	ENOG410IKA4;ENOG4111D9N;
A0A1W2PQI9	
G3V120	KOG3707;ENOG410XT0G;
E9PDE3	KOG3704;ENOG410XS59;
B5MC59	ENOG410IZRM;ENOG4111REI;
Q9HB66	
G3V350	KOG2392;COG4826;
A0A024R161	KOG0722;COG0484;
B4E009	KOG4297;ENOG410XPJ1;
G5E9F5	
D3DWC4	KOG3058;ENOG410XNSC;
A0A0G2JIW1	
J3KQC8	KOG1721;COG5048;
Q4JDK3	KOG0789;COG5599;
A0A087WTD6	KOG0344;ENOG410XQS8;
B4E3H9	ENOG410J70I;ENOG41117YV;
B7Z2T3	
I3L533	KOG1853;ENOG410XPMP;
G5E9F7	
A0A0J9YX62	
B0QYY4	KOG0125;ENOG4111WJT;
G5E9W8	
H3BQ46	KOG4193;ENOG410XSD2;
B3VCF6	KOG1453;ENOG410YM3I;
C9JIZ0	KOG1784;ENOG41124H7;
Q6P1N7	ENOG410II43;ENOG4111QPK;
A0A1B0GW34	
E9PJW6	ENOG410IFMD;ENOG410ZCZH;
G3V3P5	ENOG410IVYY;ENOG4111FFW;
F6QYI9	KOG0329;COG0513;
B7Z779	
Q9BQU1	
F8U8C0	ENOG410IZX0;ENOG4111ZZM;
J3KR33	KOG4043;ENOG4111KKA;
R4GMY4	KOG4604;ENOG4112535;
K7ENN4	KOG3336;ENOG410YBNZ;
G3V155	KOG0914;ENOG410XVTA;
X6RCY3	KOG4760;ENOG4111IID;
B7Z8J4	KOG2779;COG5092;
Q8WXQ4	KOG3864;ENOG4110375;
B4DLR6	KOG3594;ENOG410XQHI;
G3V585	ENOG410JFVP;ENOG410Z2RX;
I3L4L7	KOG0019;COG0326;
B0QY90	KOG3677;ENOG410XPJT;
Q9H4C3	ENOG410IGXG;ENOG41125MP;
Q8WYS2	
D6R9D3	KOG4211;ENOG410Z6M0;
G5E9Q4	KOG3732;ENOG410XSCK;
B5MCD3	
F2Z3K6	KOG0157;COG2124;
A0A024R0K5	ENOG410IFE1;ENOG410YR1P;
E9PKT4	ENOG410J1SC;ENOG410ZE8W;
F8VPP1	
A8DN24	
C9JGR2	KOG1721;COG5048;
E5RG25	KOG0427;COG5078;
Q29967	
Q709A9	KOG1318;ENOG4110SME;
G3V1D5	KOG1721;COG5048;
D6R992	ENOG410IFBK;ENOG410ZMME;
G5E9R6	KOG0420;ENOG410XS81;
Q5W0X3	KOG0544;COG0545;
A0A0G2JIF0	
B4DI92	
K7EK15	ENOG410IXMF;ENOG4111SC9;
A0A024R0T9	ENOG410J3QQ;ENOG4111AXD;
C9JEP0	KOG3891;ENOG410YJKW;
F2Z3L6	KOG2024;COG3250;
M0R1B8	
Q9UED3	KOG2450;COG1012;
B4DF95	KOG0565;COG5411;
H0Y9D9	KOG0129;ENOG410Y1XZ;
A4QPB6	KOG3519;ENOG410XT9S;
B4DUC8	KOG3985;COG0005;
G5E9S9	
A0A0C4DH22	KOG3527;ENOG410Y7NQ;
B4DZB7	ENOG410IT81;ENOG410XSKJ;
D6RIG9	KOG0659;ENOG410XQDH;
F2Z2G0	KOG3712;ENOG410XSHE;
F5GX34	
Q9Y4H5	
W4VSR3	ENOG410IVZ6;ENOG411207U;
H3BVI1	KOG4277;COG0526;
Q5JW85	KOG1695;ENOG4111VAU;
B6EC88	
K7EPY3	ENOG410IM14;ENOG410ZI5C;
M0R294	
Q7Z773	KOG1185;COG0028;
J3QRB5	
B4DI24	ENOG410IES9;ENOG4111MUJ;
D6RA97	
E5RG36	ENOG410IHRB;ENOG410YYKB;
I6L9E5	
Q5MJ33	KOG4757;ENOG410Z1J0;
A0A0B4J1W9	KOG0193;ENOG410Y4UP;
E5RFW9	KOG4257;ENOG410ZH9Y;
K7EMA7	KOG1751;COG0089;
A0A0C4DGR6	KOG3767;ENOG410YU8V;
B4DY40	KOG1496;COG0039;
F2Z2I0	
A0A0G2JJE4	
E9PKS9	KOG3369;COG5122;
H0YCK5	KOG1721;COG5048;
H0Y3U0	KOG0027;COG5126;
A6PVJ2	KOG2667;ENOG410XP7X;
D6RDK9	KOG0137;COG1960;
Q49AC9	KOG4228;COG5599;
Q6X734	KOG4131;COG0327;
A0A087WSY0	ENOG410J4Z3;ENOG41117ZN;
B3TIK8	
B7Z6Z4	KOG0030;COG5126;
Q6ZSU2	KOG0708;COG0194;
A2ABS3	ENOG410JD5T;ENOG41118E3;
E9PI00	ENOG410IWG3;ENOG410YI0S;
A0A5B7	
B5A958	KOG0200;COG0515;
E7EMM9	KOG1721;COG5048;
F2Z2W8	KOG0918;ENOG410XP4F;
J3QLE2	
F5H0Z3	ENOG410IPT4;ENOG410XSY5;
F2Z2V6	KOG1148;COG0008;
H3BND4	KOG0630;ENOG410XYFU;
A0A0C4DFT4	KOG1129;ENOG410Z814;
B3KS98	KOG1560;ENOG410XSR9;
I3L482	
A0A0A0MTG1	KOG0432;COG0525;
B4DJF2	KOG0841;COG5040;
E2GH26	KOG3248;ENOG41109RU;
F8W8L6	KOG1467;COG1184;
H3BPZ0	KOG1633;KOG1947;ENOG410ZJED;
K7ELJ2	KOG3938;ENOG410XQ87;
K7EN88	KOG1433;KOG4275;ENOG41101VR;
A8MZF5	KOG3979;ENOG410XT2T;
A0A087X1Q5	
D6RA86	KOG0396;ENOG410XPGU;
G3V115	KOG4308;ENOG410ZBX3;
Q8N6Q4	KOG4587;ENOG410XRWN;
A2AAT8	ENOG410IR26;ENOG410YJDD;
B4DKT6	KOG3645;ENOG410XQGR;
C9IZF4	
E9PJD9	KOG1742;COG0200;
F8VPI7	KOG3732;ENOG410XSCK;
V9GYE2	
B4DUT8	
D6RAY0	
J3KR35	KOG3407;ENOG4111R31;
K7EM04	ENOG410IGJR;ENOG4111JE6;
A0A0K0K1C0	
A0A0A0MTR0	KOG3614;ENOG410XR5B;
B4DHB2	KOG3661;ENOG410XPRK;
J3KPF5	
K7EII9	KOG2951;COG0483;
D6RHC2	KOG3116;ENOG410XUV5;
B4DSP0	ENOG410J3P7;ENOG410Y6K0;
F2Z3E2	KOG0238;COG4770;
Q92728	KOG1010;ENOG410XQF7;
A0A087WYK3	KOG0457;COG5114;
C9JCF9	KOG1786;KOG4190;ENOG410XR4I;
A0A0G2JIV5	
G3V131	KOG1721;COG5048;
A0A0A0MS75	KOG3979;ENOG410XT2T;
U5XJZ2	ENOG410IKJD;ENOG41116BR;
E9PI28	ENOG410IIYX;ENOG4110Y2Q;
C9J5X2	ENOG410IFVF;ENOG410Y74Z;
C6YB45	ENOG410ITQ4;ENOG4112BIH;
H7BZP5	KOG1861;ENOG410YVEM;
M4PM71	KOG2082;COG0531;
G3V0J0	
Q9BTG3	ENOG410II97;ENOG4111HAM;
B3KSM0	KOG2322;COG0670;
B4DKD1	KOG4433;ENOG410ZNTN;
C9J7K9	KOG0621;ENOG410XSYS;
E2J9M0	KOG0792;COG5599;
J3QR33	KOG3527;ENOG410Y7NQ;
B4DGW9	KOG0044;COG5126;
H0YH35	ENOG410IM14;ENOG410ZI5C;
A0A075B6S9	
D6RGK3	KOG3334;COG5094;
F2Z3C0	KOG3301;COG0522;
H3BMT1	KOG2434;ENOG410XRJJ;
B4DX60	KOG2810;ENOG410XYYN;
E9PLL8	KOG1668;COG2092;
H3BQS6	ENOG410IFJ0;ENOG4111ZWH;
B4E135	
F8WE36	
I1E4Y6	KOG1862;ENOG4111Q0Y;
A0A0A6YYK4	
D3YTF2	KOG1721;COG5048;
X6R368	KOG2841;COG5241;
H3BP16	
F5GYD9	KOG1654;ENOG4111JAT;
L0E130	KOG3656;ENOG410XRW9;
G3V171	KOG2283;COG2453;
G5E9R9	KOG4465;ENOG410YCBF;
A0A087X1W6	KOG4407;ENOG410YY7B;
B3KT46	KOG4349;ENOG4111MVH;
B5MCN0	KOG2037;ENOG410XR6Z;
B9TX12	
E9PHZ2	KOG1667;ENOG410XPV6;
F5H226	
Q8N437	KOG3417;KOG3541;ENOG410XRE3;
A0A0J9YXA8	
B4DVL2	ENOG410IJHJ;ENOG4111HJY;
A0A0A0MQR8	
A0A0C4DG33	
F2Z2I2	KOG0234;COG0406;
A0A0A0MR54	
B6ZDE5	KOG1810;COG5543;
Q9BY48	
A0A096LNX8	KOG1218;ENOG410XQWV;
M0R0V3	
C9J011	KOG1721;COG5048;
F1T0E5	
H3BR59	ENOG410ITHI;ENOG410Z0QD;
H3BN66	KOG4184;ENOG410Z7J9;
D6R947	KOG2244;COG1331;
B4DXC8	KOG0888;COG0105;
B4DYG9	ENOG410IFQB;ENOG410XQ5Y;
E6ZCI6	KOG3058;ENOG410XNSC;
I3L4X0	KOG0372;COG0639;
A0A0G2JJW2	
F2Z3E3	KOG3655;ENOG410XRVX;
H0YH15	KOG1806;ENOG410XPV8;
B4DFG0	
Q5JRI7	KOG1105;COG1594;
A0A087X089	ENOG410J09X;ENOG410ZD2W;
E7ESX0	KOG2574;COG1498;
J3QL77	
E5RFW2	ENOG410IE5B;ENOG410YKRB;
H7C607	
E9PMJ3	KOG4308;ENOG410ZBX3;
M0QZZ6	
F1T0F3	KOG1721;COG5048;
A0A0C4DFY4	KOG1721;COG5048;
A0A087X1N6	KOG4559;ENOG4111XFP;
E9PG18	KOG2301;ENOG410XNP6;
Q9NZG9	KOG1433;COG0468;
G3V0E6	
C9JYH8	
C0MHM2	
A2ABN6	KOG2541;COG1075;
F8VRV5	KOG3430;ENOG4111NK2;
M0R0P0	
D6RGD6	
Q71QC9	KOG1721;COG5048;
B4DFL6	KOG4267;ENOG4112205;
A2ABL0	KOG1094;ENOG410XQAI;
E5RJ36	KOG2086;ENOG410YGXU;
Q6P4H7	KOG4036;ENOG4111INN;
A0A0K0K1D8	
A0A0A0MST9	KOG0586;ENOG410XNQ0;
Q96NX8	
B1ANB7	KOG3733;ENOG410Z1HH;
G5E9X5	KOG0238;COG4770;
A6NGS0	KOG0894;ENOG410Z0AN;
B0QYX1	KOG3575;ENOG410XRZC;
B8ZZ10	KOG0796;COG5200;
F1T0B5	KOG0545;ENOG410YGYV;
G3V1X5	KOG4477;ENOG4111PN1;
J3KT17	
Q5TYM6	ENOG410IKHG;ENOG4111KE6;
H0YN03	
D6R9A9	
A0A0C4DGC2	
F5GYL3	KOG0347;ENOG410XS03;
K7ERB6	KOG4603;ENOG410XT3U;
B7ZME0	
J3KN36	KOG1948;ENOG410XTI0;
B7ZA25	KOG0616;ENOG410XPQQ;
F5H4R5	KOG1686;ENOG4111TX4;
B4DSR2	ENOG410IE7Q;ENOG4111ERT;
I3L172	ENOG410IZSP;ENOG4111Y97;
B1B1F5	
E9PJ35	KOG3317;ENOG4111KGI;
H0YA31	
E9PHZ0	KOG1721;COG5048;
C9IZZ2	ENOG410J0BK;ENOG41128HF;
F2Z2Z9	KOG0046;COG5069;
B0QY95	ENOG410IK9T;ENOG41109RH;
G3V0H0	KOG2543;ENOG410XSY0;
M0R0M3	KOG4450;ENOG4111N8W;
I3L232	KOG2977;COG0463;
S4R469	KOG0125;ENOG4111WJT;
A0A087WYF5	ENOG410IUYX;ENOG4110PRV;
B1AMW1	ENOG410J1AA;ENOG410Z508;
E7EVX8	KOG2574;COG1498;
B5MC53	KOG1944;ENOG4111SYH;
M0QX57	KOG3627;COG5640;
H7C3P4	KOG3731;COG3119;
A0A087WYQ2	
A6NHV6	KOG0601;ENOG410XS1M;
A0A0A0MT38	KOG1997;ENOG410XNVY;
H0YM98	KOG3645;ENOG410XQGR;
Q8IUW1	KOG0504;COG0666;
A0A0A0MRE5	KOG0521;COG5347;
F2Z2U4	KOG0889;COG5032;
I3L2Z2	
A3EZ84	ENOG410JC0V;ENOG4111ARX;
F2Z363	KOG0420;ENOG410XS81;
F8VSK9	
D6RIY0	KOG1721;COG5048;
F6TDU8	KOG0490;ENOG410YIJ3;
A0A0A0MR94	
B9EGA3	
Q3KNR6	KOG1308;ENOG410XR19;
F5GWR7	KOG4228;COG5599;
I3L2R3	KOG1853;ENOG410XPMP;
C9JGB1	KOG3798;COG2220;
H7BZT2	KOG4280;COG5059;
B1AH80	KOG0393;COG1100;
H0YLT7	KOG4221;ENOG410Z913;
K7ENA0	
B1AP15	
F8VW03	KOG0534;COG0543;
Q5JTY2	
S4R3I5	ENOG410J189;ENOG411212S;
A0JNU9	KOG4436;ENOG410YWJY;
C9JVJ0	KOG4628;ENOG410Z5DF;
B4DLR2	KOG2100;COG1506;
F5H7Q5	ENOG410IM14;ENOG410ZI5C;
Q49AA1	KOG1819;ENOG410XNYQ;
C9J295	
M9T4I7	KOG2113;ENOG410Y337;
F8W866	
Q5T2V6	ENOG410IX7D;ENOG411156J;
A0A140T9L8	
F5GWS9	
E9PCT7	
F2Z3G9	
Q6ZSX4	
A0A087WVU0	ENOG410IZEZ;ENOG4112495;
A0A0B4J1Y0	KOG1721;COG5048;
A0A0C4DGX8	KOG3868;ENOG410XTHY;
D6RD72	
V9GY49	KOG0521;COG5347;
A0A0A0MQS5	KOG3462;ENOG4111WDX;
H3BNR6	
H7C5P0	KOG0601;ENOG410XS1M;
K7EMQ1	KOG0037;ENOG410YKQK;
A2AB23	KOG4323;ENOG410XQ6E;
D6RAF1	KOG1703;ENOG410XRD4;
C9JCK1	ENOG410IGAX;ENOG410XQ5U;
H0YEU4	KOG1084;COG2940;
B7Z5F4	
H3BTY1	ENOG410INRX;COG0500;
A0A087X1G4	KOG3084;COG2816;
C9JMH9	KOG0016;KOG1911;COG1024;
E5RI95	KOG0044;COG5126;
I3VM54	KOG1633;KOG1947;ENOG410XQXU;
Q96K65	KOG1721;COG5048;
A0A0D9SGA7	
C9J762	KOG0665;ENOG410XSHI;
K7ENL2	KOG3294;ENOG4111FQW;
I3L1Q7	
A0A0A0MSX3	KOG1094;ENOG410XQAI;
E7EQJ1	
H0UI06	ENOG410IZJ9;ENOG41124EQ;
B7Z879	
A0A0C4DFU2	KOG0876;COG0605;
C6GKH1	
B4DV12	KOG0001;COG5272;
F5H4T4	
E9PJD0	
E9PN92	KOG0048;COG5147;
F2Z2J0	
F8VRK1	
K7ESF1	KOG1256;COG1022;
Q4G0X5	KOG4784;ENOG4111HHQ;
Q96GW1	KOG0020;COG0326;
G5E943	KOG1479;ENOG410Y3MT;
H0YMS0	KOG3605;ENOG410XSBD;
Q689E2	ENOG410IHYH;ENOG410XUKS;
G3V1B8	KOG4537;ENOG4111RNZ;
G3V5H8	
G3V105	KOG4250;ENOG410XRMU;
B5MC15	KOG1785;ENOG410YDNH;
F8WBV6	KOG4488;ENOG410XWDZ;
J3KNP4	KOG3611;ENOG410XQZC;
C9JD20	KOG1786;KOG4190;ENOG410XR4I;
K7EM67	
F2Z3J2	
B7ZAR9	KOG2844;COG0404;
A8MT14	
J3KRW0	
I3L0J9	
B4DUJ5	ENOG410IJUP;ENOG4111KYE;
A0A087WWR4	KOG0457;COG5114;
Q16446	
F8WAF9	KOG0288;ENOG410XQYA;
Q6MZF5	KOG3867;COG3119;
A0A087WXU8	KOG0347;ENOG410XS03;
A0A0G2JMY9	
A2AB93	KOG1721;COG5048;
G3XAN1	KOG1138;COG1236;
Q8IU52	ENOG410IF90;ENOG410XR4H;
O75812	KOG1025;ENOG410XNSR;
D7R528	
G3V1J9	KOG1693;ENOG4111JPD;
H0Y2N5	
G3V338	KOG1972;ENOG410XPGD;
M0QYW0	KOG1474;COG5076;
C9JR15	KOG2687;ENOG410YM6S;
H3BTB6	
I3L0Y6	
C9JLH4	KOG1815;ENOG410XP9Y;
Q9BVT6	KOG0169;ENOG410XPSW;
I3L0X9	KOG3442;ENOG411286G;
F8WCM8	KOG0196;COG0515;
A6NP74	ENOG410IWHM;ENOG4111I1Z;
E9PPN6	
F5GYZ4	ENOG410IM14;ENOG410ZI5C;
B4DEE2	KOG4551;ENOG410XXRT;
Q76L82	ENOG410IGAP;ENOG410YF2J;
H0YH52	ENOG410IE17;ENOG410XT7J;
K7EPG7	
Q5TD07	
E9PL24	ENOG410J2NR;ENOG411281S;
B1ALC3	KOG4280;COG5059;
B4DZQ4	ENOG410JQ2S;ENOG410XS4M;
Q5FBZ7	KOG1978;COG0323;
G5E9R3	KOG0402;COG1997;
J3KPS3	KOG1557;COG3588;
D6RDM5	ENOG410IPNZ;ENOG4111F97;
H0YKR2	
Q5J8M5	KOG2924;COG1899;
C4P0D4	KOG3066;COG2178;
H3BNA8	ENOG410IX7X;ENOG4111PGA;
J3KPF3	KOG0471;COG0366;
E7ESA6	KOG4257;ENOG410ZH9Y;
G3V1K8	KOG1721;COG5048;
E9PLH8	KOG3077;ENOG410XTIJ;
Q8WZ67	KOG4297;ENOG410XPJ1;
H0Y5R0	KOG2177;ENOG4111G04;
J3KN19	KOG3156;ENOG4111F9W;
D6RCL9	KOG4488;ENOG410XWDZ;
M0R0J7	
Q6NSJ8	ENOG410IGEX;ENOG4112BQP;
B4E2D5	ENOG410IJ9A;ENOG410YRYS;
B7Z3A9	KOG3659;COG0733;
A0A0C4DFM4	ENOG410J8TA;ENOG411167M;
E5RHY8	ENOG410J2EG;ENOG411227Z;
Q8N6Z2	KOG2726;COG0216;
H3BVE9	KOG4193;ENOG410XSD2;
A2AE50	KOG2177;ENOG410Z766;
F2Z2W4	KOG4501;ENOG410XSUE;
J3KTL2	KOG0105;COG0724;
K7EK05	KOG1721;COG5048;
A0A0B4J1Z0	ENOG410IIGI;ENOG4111I5R;
G8JLN4	ENOG410JAT8;ENOG4111920;
A0A0G2JJF5	
E9PIB2	ENOG410IKA4;ENOG4111D9N;
H0YLI5	ENOG410IWBU;ENOG41124NX;
A0A0D9SFN2	
B7ZAR1	KOG0357;COG0459;
M0R0B2	KOG1905;COG0846;
D6R9P6	KOG2247;ENOG410XR20;
E9PPS9	KOG3804;ENOG4111K4J;
A2A2L3	KOG3607;ENOG410XX2M;
H0YF91	ENOG410IE17;ENOG410XT7J;
E9PIF4	ENOG410IE33;COG4409;
I3L2L3	KOG4269;ENOG410XPGZ;
A0A024QZX5	KOG2392;COG4826;
B4DSL5	KOG0160;COG5022;
K7ERS2	ENOG410ISZF;ENOG4111GNX;
G3XAA6	KOG1208;COG1028;
F8WCK4	KOG2298;COG0423;
B4DYN2	KOG0054;COG1132;
V9GZ41	KOG1661;COG2518;
Q9UES5	KOG0160;KOG0161;COG5022;
A0A0B4J2C2	KOG3971;ENOG4111JKV;
M0R160	KOG1721;COG5048;
Q8IXA3	KOG1165;ENOG410XNXP;
A0A087X004	KOG0506;COG2066;
F2Z3I1	ENOG410J14T;ENOG410XXYD;
G3XAM2	KOG3627;COG5640;
E9PMW7	KOG1668;COG2092;
G3V170	
H7C3I7	KOG1565;ENOG410XQ5D;
Q5TEC6	KOG1745;COG2036;
A8MTC6	KOG0083;ENOG410Z9H6;
G5EA44	
B7Z3T3	KOG2082;COG0531;
K7ELY4	KOG4810;ENOG4111RN8;
G3V2B1	KOG2736;ENOG410XPZD;
Q5BJH1	
B4DJW4	KOG2369;ENOG410Y9CF;
B7ZM79	KOG3594;ENOG410XQHI;
B1AK81	KOG1349;COG5206;
B3KPJ4	ENOG410IDZN;ENOG4111F0Y;
L0R819	
B7Z3H4	KOG0281;ENOG410XTA8;
E9PDG3	KOG1786;KOG4190;ENOG410XR4I;
P78534	KOG2145;COG0180;
Q7KZJ0	KOG1434;COG0468;
A0A0G2JNH7	
B1ANR0	
C9JTY4	KOG0058;COG1132;
Q7LC14	KOG0504;COG0666;
A0A0J9YWA6	
E5RG78	
F8W201	KOG1629;ENOG4111GCT;
D6RJD3	KOG2807;COG5151;
A0SDD8	ENOG410IEIE;ENOG410XP0E;
F5GZH8	
E5RGI1	
H0YAX2	
A0A0A0MT12	KOG0329;COG0513;
H0YMA4	
K7EP27	KOG0444;COG4886;
B4DR24	KOG1721;COG5048;
F8W883	ENOG410IIRW;COG5022;
B4DUA4	KOG0106;COG0724;
H0YE36	KOG0521;COG5347;
A0A087WU49	
B4DRE3	
E9PK13	KOG0251;ENOG410XQ90;
A0A087WSW7	KOG0386;COG0553;
B7ZKJ3	KOG0196;COG0515;
A1YLA2	
D1MQ08	KOG3684;ENOG410XT9D;
I3L1H9	ENOG410JCVC;ENOG41115HP;
A0A024R6X1	KOG1516;COG2272;
E9PLV3	ENOG410IH51;ENOG410XTBC;
M0R299	KOG1596;COG1889;
A0A087WWU9	KOG3198;COG1400;
G5E9Q8	ENOG410IT7Y;ENOG411291V;
E5RGC5	KOG3195;ENOG4111GAN;
K7ERF7	ENOG410IHQ8;ENOG4111M8T;
H3BMD8	
X6RAH8	
T2HUW8	
I3L1W3	
C9IYK2	KOG0996;COG1196;
Q6NSD3	ENOG410IVIT;ENOG410ZN5E;
A8K2M3	ENOG410J36N;ENOG41125F3;
E9PC44	KOG1985;COG5028;
C9JXJ4	KOG2770;COG0404;
A0A0D9SEJ5	
D6RA92	KOG3437;COG5156;
I3L1T9	KOG0715;COG0484;
Q9BRG6	
A0A0G2JI85	
A0A1B0GVQ3	
A0A0G2JMM7	
A0A1W2PP17	
A0A0G2JJZ1	
A0A0G2JJ08	
A0A024R6I7	KOG2392;COG4826;
A0A1W2PRN6	
A0A0G2JS91	
A0A0G2JRM9	
K7EMW8	
Q5TB19	KOG2739;ENOG4111HZT;
R4GN89	ENOG410J40B;ENOG41118KG;
G3XAM1	KOG3116;ENOG410XUV5;
A0A024R214	ENOG410ITXD;ENOG410YBXF;
A0A0A6YYC7	KOG1721;COG5048;
B1AQP5	
H3BT23	KOG1990;ENOG410XS9D;
Q49A14	
H0YDQ4	KOG3979;ENOG410XT2T;
F2Z341	
X6R2S6	KOG4112;ENOG411274V;
A0A087WZF2	
F5H9F7	KOG3213;ENOG410XS39;
I3L2S3	ENOG410IFJX;ENOG41101AM;
Q6LCT9	KOG3891;ENOG410YJKW;
A6YPU5	KOG4595;ENOG410XX62;
B4DMU5	KOG2484;COG1161;
B7ZLE8	KOG1101;ENOG410YPNM;
G0LNT7	KOG3910;ENOG410XYUA;
A2AB88	KOG3478;COG1382;
A6NMU8	
A0A0B4J220	ENOG410J18S;ENOG410XWVI;
C9JFD7	
E9PNT2	KOG1450;KOG4269;ENOG410ZP6T;
F5H0H6	KOG1339;ENOG410XNV7;
K7ELV8	KOG1786;KOG4190;ENOG410XR4I;
Q5T706	ENOG410IIST;ENOG410XTCW;
Q66S35	KOG0234;COG0406;
Q9BUA5	ENOG410IEF9;ENOG410XYNB;
A0A0B4J1W7	ENOG410J0WZ;COG5069;
B4E1G1	KOG0858;COG5291;
C9JHN6	KOG2208;ENOG410XQFV;
E7ETU5	KOG4733;ENOG410XRB5;
E9PI39	KOG1668;COG2092;
Q5T8R4	KOG2504;COG0477;
E9PJD4	ENOG410IK88;ENOG410YEFV;
K7EJD3	ENOG410IY2Y;ENOG410YBYF;
E9PI35	ENOG410IWHX;ENOG4112999;
J3QL79	ENOG410IE17;ENOG410XT7J;
B0YIZ1	
M0R0R3	ENOG410J12F;ENOG4111VAP;
D6RCS6	KOG1637;COG0441;
J3QT48	
O14909	KOG0708;COG0194;
B7Z493	KOG4424;ENOG410XRXV;
H7C078	KOG0725;COG1028;
J3KTH2	KOG2341;ENOG410XQS6;
A0A0A0MTU0	ENOG410IX2G;ENOG4111ACT;
A0A0C4DFS1	
Q49AI2	KOG2984;ENOG410YNJD;
E9PI66	KOG1434;COG0468;
K7ELE1	KOG2124;COG1524;
A6NDI8	KOG1343;COG0123;
A8K968	
B4E321	KOG3394;ENOG410XR8A;
E9PBH4	KOG0327;COG0513;
F8WA18	KOG0583;COG0515;
Q5TC51	KOG4381;ENOG410XRAX;
Q9NWU8	
A0A0C4DGN4	ENOG410JCVC;ENOG41115HP;
B4DJS2	KOG0725;COG1028;
D3TTY5	ENOG410IQZK;ENOG41117NJ;
A0A096LP39	KOG2177;KOG4394;ENOG410YDPJ;
E9PKI7	
A0A087WZF6	ENOG410IRB0;ENOG410Z4AG;
B4DTR2	KOG3594;ENOG410XQHI;
B8ZZ43	KOG1911;ENOG4111JKD;
A0A087X1N0	ENOG410IEAD;ENOG410XRSX;
B4DKB2	KOG3624;COG3590;
H0Y400	KOG0329;COG0513;
B4E227	KOG3763;ENOG410XR55;
B9TX31	ENOG410IHD9;ENOG410Z0HI;
K7ELM3	ENOG410J0DB;ENOG4111ZSU;
G5E9U6	
Q6PL43	
A0A0C4DFN1	KOG0448;COG0699;
E9PBZ9	KOG0648;ENOG410Z4GH;
F8VR29	KOG2649;ENOG410XX0H;
Q9NV89	KOG0607;ENOG410XQA9;
B1AH49	KOG1529;COG2897;
B7Z589	KOG3659;COG0733;
C9JQ14	KOG4295;ENOG410XQNP;
I3L137	KOG1721;COG5048;
M0QZI7	KOG1721;COG5048;
Q3SY49	
A2VCS9	ENOG410IGGW;ENOG4111X21;
E5RJ53	ENOG410IWQV;ENOG4111WVS;
H3BMK2	KOG0810;COG5074;
E9PM39	KOG1574;ENOG410XPWB;
Q3KPI9	KOG4228;COG5599;
B3KU01	KOG3611;ENOG410XQZC;
F6R851	
A0A0C4DGA2	KOG0016;KOG0817;COG1024;COG4281;
G3V4M9	ENOG410IHA6;ENOG4110KIK;
A0A0B4J226	KOG4013;COG3142;
